match_id,SetNo,GameNo,PointNumber,is_player_on_serve,ServeNumber,serve_direction,serve_quality,return_type,rally_bucket,rally_phase,key_event,finish_type,finish_shot,macro_pattern,RallyCount,pct_service_points_won,pct_return_points_won,pct_first_serve_points_won,pct_second_serve_points_won,last_n_points_won_5,is_game_point,is_break_point,is_game_point_against,is_point_won,predicted_point_win_probability,pattern_fused_id,pattern_fused_name,tagged_pattern,point_description,next_point_pattern_hint,player_name,opponent_name,tournament,surface,match_type,round,set_score_me,set_score_opp,game_score_me,game_score_opp,point_score_me,point_score_opp,timestamp
"sess_1776525130139_2077","1","1","1","1","2","WIDE","SAFE","SHORT","LONG","ATTACK_ME","LOB","FORCED_ERROR","BACKHAND","DEFENSE_RECOVERY","10","1","0.36","1","0.68","1","0","0","0","0","0.544951856136322","3","Serve neutral / mixed","Serve WIDE | Return SHORT | Rally ATTACK_ME | Finish FORCED_ERROR","Punto al servizio, rally count 10, profilo LONG, momento HOT, pressione NEUTRAL. Pattern prevalente: Serve neutral / mixed. Probabilità stimata: 54.5%.","serve_neutral_build","J. Sinner","D. Medvedev","BNP Paribas Open","Clay","BO3","F","0","0","0","0","0","0","2026-04-18T15:12:15.158Z"
"sess_1776525130139_2077","1","1","2","1","1","T","AGGRESSIVE","CENTRAL","LONG","NEUTRAL","DROP_SHOT","UNFORCED_ERROR","BACKHAND","LONG_RALLY","10","0","0.36","1","0","0","0","0","0","1","0.6885704398155212","1","Serve safe / percentage","Serve T | Return CENTRAL | Rally NEUTRAL | Finish UNFORCED_ERROR","Punto al servizio, rally count 10, profilo LONG, momento COLD, pressione NEUTRAL. Pattern prevalente: Serve safe / percentage. Probabilità stimata: 68.9%.","serve_plus_one_safe","J. Sinner","D. Medvedev","BNP Paribas Open","Clay","BO3","F","0","0","0","0","0","15","2026-04-18T15:12:20.992Z"
"sess_1776525130139_2077","1","1","3","1","1","T","SAFE","","SHORT","ATTACK_ME","NONE","WINNER","SERVE","SERVE_DOMINANT","2","0.5","0.36","1","0","0.5","0","0","0","1","0.6987373232841492","1","Serve safe / percentage","Serve T | Rally ATTACK_ME | Finish WINNER","Punto al servizio, rally count 2, profilo SHORT, momento NEUTRAL, pressione NEUTRAL. Pattern prevalente: Serve safe / percentage. Probabilità stimata: 69.9%.","serve_plus_one_safe","J. Sinner","D. Medvedev","BNP Paribas Open","Clay","BO3","F","0","0","0","0","15","15","2026-04-18T15:12:26.319Z"
"sess_1776525130139_2077","1","1","4","1","1","T","SAFE","","SHORT","ATTACK_ME","NONE","FORCED_ERROR","FOREHAND","SERVE_DOMINANT","2","0.67","0.36","1","0","0.67","0","0","0","1","0.704770565032959","1","Serve safe / percentage","Serve T | Rally ATTACK_ME | Finish FORCED_ERROR","Punto al servizio, rally count 2, profilo SHORT, momento HOT, pressione NEUTRAL. Pattern prevalente: Serve safe / percentage. Probabilità stimata: 70.5%.","serve_plus_one_safe","J. Sinner","D. Medvedev","BNP Paribas Open","Clay","BO3","F","0","0","0","0","30","15","2026-04-18T15:12:31.849Z"
"sess_1776525130139_2077","1","1","5","1","1","WIDE","AGGRESSIVE","DEEP","SHORT","ATTACK_ME","NONE","UNFORCED_ERROR","FOREHAND","SHORT_RALLY","2","0.75","0.36","1","0","0.75","1","0","0","1","0.7383419871330261","1","Serve safe / percentage","Serve WIDE | Return DEEP | Rally ATTACK_ME | Finish UNFORCED_ERROR","Punto al servizio, rally count 2, profilo SHORT, momento HOT, pressione GAME_POINT_FOR. Pattern prevalente: Serve safe / percentage. Probabilità stimata: 73.8%.","serve_plus_one_safe","J. Sinner","D. Medvedev","BNP Paribas Open","Clay","BO3","F","0","0","0","0","40","15","2026-04-18T15:12:37.380Z"
"sess_1776525130139_2077","1","2","6","0","1","T","SAFE","CENTRAL","LONG","ATTACK_OPP","LOB","UNFORCED_ERROR","FOREHAND","LONG_RALLY","10","0.8","0.36","1","0","0.8","0","0","0","0","0.324455589056015","7","Neutral return","Serve T | Return CENTRAL | Rally ATTACK_OPP | Finish UNFORCED_ERROR","Punto in risposta, rally count 10, profilo LONG, momento HOT, pressione NEUTRAL. Pattern prevalente: Neutral return. Probabilità stimata: 32.4%.","neutral_return_build","J. Sinner","D. Medvedev","BNP Paribas Open","Clay","BO3","F","0","0","1","0","0","0","2026-04-18T15:12:43.190Z"
"sess_1776525130139_2077","1","2","7","0","2","T","SAFE","CENTRAL","SHORT","NEUTRAL","NONE","UNFORCED_ERROR","FOREHAND","SHORT_RALLY","2","0.8","0","1","0","0.8","0","0","0","0","0.5174248218536377","6","Safe return","Serve T | Return CENTRAL | Rally NEUTRAL | Finish UNFORCED_ERROR","Punto in risposta, rally count 2, profilo SHORT, momento HOT, pressione NEUTRAL. Pattern prevalente: Safe return. Probabilità stimata: 51.7%.","return_safe","J. Sinner","D. Medvedev","BNP Paribas Open","Clay","BO3","F","0","0","1","0","0","15","2026-04-18T15:12:48.848Z"
"sess_1776525130139_2077","1","2","8","0","1","WIDE","SAFE","ANGLED","MEDIUM","ATTACK_ME","LINE_CHANGE","UNFORCED_ERROR","BACKHAND","SHORT_BALL_ATTACK","6","0.8","0","1","0","0.6","0","0","0","1","0.3027710020542145","6","Safe return","Serve WIDE | Return ANGLED | Rally ATTACK_ME | Finish UNFORCED_ERROR","Punto in risposta, rally count 6, profilo MEDIUM, momento NEUTRAL, pressione NEUTRAL. Pattern prevalente: Safe return. Probabilità stimata: 30.3%.","return_safe","J. Sinner","D. Medvedev","BNP Paribas Open","Clay","BO3","F","0","0","1","0","0","30","2026-04-18T15:12:54.604Z"
"sess_1776525130139_2077","1","2","9","0","1","BODY","SAFE","ANGLED","LONG","DEFENSE_OPP","NONE","UNFORCED_ERROR","FOREHAND","DEFENSE_RECOVERY","10","0.8","0.33","1","0","0.6","0","0","0","0","0.31059351563453674","7","Neutral return","Serve BODY | Return ANGLED | Rally DEFENSE_OPP | Finish UNFORCED_ERROR","Punto in risposta, rally count 10, profilo LONG, momento NEUTRAL, pressione NEUTRAL. Pattern prevalente: Neutral return. Probabilità stimata: 31.1%.","neutral_return_build","J. Sinner","D. Medvedev","BNP Paribas Open","Clay","BO3","F","0","0","1","0","15","30","2026-04-18T15:13:00.519Z"
"sess_1776525130139_2077","1","2","10","0","2","T","WEAK","DEEP","MEDIUM","ATTACK_OPP","LINE_CHANGE","UNFORCED_ERROR","BACKHAND","MEDIUM_RALLY","6","0.8","0.25","1","0","0.4","1","0","0","1","0.5174248218536377","6","Safe return","Serve T | Return DEEP | Rally ATTACK_OPP | Finish UNFORCED_ERROR","Punto in risposta, rally count 6, profilo MEDIUM, momento NEUTRAL, pressione GAME_POINT_FOR. Pattern prevalente: Safe return. Probabilità stimata: 51.7%.","return_safe","J. Sinner","D. Medvedev","BNP Paribas Open","Clay","BO3","F","0","0","1","0","15","40","2026-04-18T15:13:06.051Z"
